PolygonNum,Point Number,Class,Lat,Long,Altitude,Notes (Revised),Field Notes
,152,21akn,42.65470649,-70.77502664,-25.77,Ditch,vegetated ditch
56,153,05a,42.65472585,-70.77502128,-25.644,,
56,154,05a,42.6547622,-70.77501229,-25.598,,
57,155,06a,42.65478272,-70.77500842,-25.585,,
57,156,06a,42.65487247,-70.77499327,-25.452,,
58,157,04b,42.65489082,-70.77498956,-25.461,,SSA is thinning from being on edge of pond
58,158,04a,42.65491708,-70.77498383,-25.459,,
59,159,03a,42.65493715,-70.77497955,-25.469,,
59,160,03a,42.65500459,-70.77496934,-25.47,,
60,161,34bs,42.65501727,-70.77495461,-25.447,,tried to capture bare area around pond
60,162,34bs,42.65502068,-70.77494482,-25.447,,tried to capture bare area around pond
61,163,03a,42.65502913,-70.77492219,-25.455,,
61,164,03a,42.65504941,-70.77487903,-25.415,,
62,165,04a,42.65505923,-70.77485717,-25.425,,
62,166,04a,42.65509485,-70.77479121,-25.486,,
62,167,04a,42.65508881,-70.77477828,-25.441,,Pictures are on Emily's phone
62,168,04a,42.6550727,-70.77474907,-25.498,,
63,169,05a,42.65506816,-70.77473728,-25.519,,
63,170,05a,42.65505948,-70.77471726,-25.593,,
63,171,05a,42.65506841,-70.7747069,-25.577,,ditch edge
63,172,05a,42.65532543,-70.7744646,-25.659,,
64,173,06a,42.65533713,-70.77446683,-25.638,,
64,174,06a,42.6553559,-70.77449878,-25.616,,
